# OpenSecurity fuzzy (CTPH) hash signatures
# Format: <blocksize:hash1:hash2>  <label>
# One entry per line. Lines starting with # are ignored.
# Unlike hashes.txt (exact SHA-256 match), these catch near-duplicates of known-malicious
# samples - a recompiled build, a repacked installer - that differ byte-for-byte but share
# most of their content. See src/OpenSecurity.Core/Hashing/FuzzyHash.cs for the algorithm.
768:Tyc7/ovNV004AjWU3GQelVUlidf+prtbjzjy1QVIibtYcFOKc6KC:Tyc2z0ajWTQelzdGDbjzKQVIi7OKclC  Endermanch-MalwareDatabase:Cuberates@TaskILL.exe
49152:p/VoMTzwF77l0VqmuTefhLTtk31XyXb9J:ptoMTzwVmq3ettk31ob9J  Endermanch-MalwareDatabase:Endermanch@HappyAntivirus.exe
192:zzbRccMfnoFoj6FQjHRiO7hp/iL7z6/Jz0fuz55555555555555555555555555555+g:DRcNfZ/na7z6hz0fuz55555555555555  Endermanch-MalwareDatabase:11.html
48:Fq57cY6jAIhA7NZQnllrWO2pHZNmprYiugqcuW4Rl6pllrUmO2pHCyTuoPdnceA1bKwS:Fo7cqN7YnlgjKrYidurilpjCyTuoVceA  Endermanch-MalwareDatabase:12.html
24:3B6NVfFVYiAQi03dsa4WAvQG0llrd1vvDRMWqRMGvVSM/pV7ia/sRMYVsdM8BVna/yG3VuhM:xuVYiugqc5NCIGtSM/77ia/NCsy8Dna/  Endermanch-MalwareDatabase:index.html
192:C7kVxHTCzNufEG1VuhIuwETZv39LThPl9WH:OwH/fEMuLTlXxw  Endermanch-MalwareDatabase:trn.png
24:lPwWQDBOlJHC6/ssBru/p7xoeo+5cz2iazDOgN8R5G9:lhQk3HC60SYxoeo9faziF4  Endermanch-MalwareDatabase:warning.png
192:aXnUfcyMlDiVE9UQuKCCy6BAtdHtv8/okoR4X:WUfcVlDiVFKByZtdHwCE  Endermanch-MalwareDatabase:beep.mp3
6144:pAvPXbELyK+MU4LxIFMJK81F9DgRqOtkkznkWVqid1juWGUX8aJcO2sEXeAIcB6vwf:pSgyK/UmIiJ7F90RFtDzn1ixUXBcO7c0  Endermanch-MalwareDatabase:beep.zip
6144:VqpMAmIBmGwjCg4JB+Rr0lgr8B8ZSk4QR:VEMdIBmG/6r+gr94QR  Endermanch-MalwareDatabase:err.mp3
48:oYxCzpNyWN0X5vSU0nsssssXL/kB65E4MGMPmODdFWPI:10NkaUI/4mlDdFD  Endermanch-MalwareDatabase:index.html
96:ywRomZV5imUJMapM3VP3Kl518+Nxu8EMHwwdHGHwwlgLvbbvbGdaiqYvUGL:y23N3Kl51nNxu8/DmD2TbT0rd  Endermanch-MalwareDatabase:main.js
6144:pAvPXbELyK+MU4LxIFMJK81F9DgRqOtkkznktVqid1juWGUX8aJcO2sEXeXvNpkurmZvozUYH:pSgyK/UmIiJ7F90RFtDzY1ixUXBcOwwH  Endermanch-MalwareDatabase:main.zip
192:u3Nr2GdBWw371zkXczmSmB8Xpa2aP1yZZU4DuIa5aedekk+SIo/:evV7+XccgccZVfa/h9SIE  Endermanch-MalwareDatabase:mic.png
1536:1DqmhiwtdSceKM5m905UM4L9q8Ib4izIee2WRNvJrMwJe77bseC6brWFVmDXRqU5r:1DhhiwqceHm9ndq8q4irejNBYw0PbY6f  Endermanch-MalwareDatabase:nrt.png
1536:PVrcK7LyFVrcK7LyMqtn+NAqB2irLwfARuwBqIUUUxmz:d4lb4lztn+Nv1rL+8UURz  Endermanch-MalwareDatabase:nrt1.jpg
12:W3cPi27kRkRC8tMHMRCoWRCwzHRC61FLHuRw8tGgc6w80mwSIOPco6xyCk+ZuRG1FY5:W27k8toewzECZOkUHFwSIc+RHU4y5  Endermanch-MalwareDatabase:phpinfo.php
49152:BjXo8E0HMB5ooFqP5Lih2H6W8SexL7UJVjTmis:GZZBSn59HN8b0lmis  Endermanch-MalwareDatabase:Endermanch@RegistryCleanerBundler1.exe
49152:ayXo8e3dyaB5ot2eMHW+c77oAkKAivfvLn6WCstrIPomRWeVa/:8tNlBStziWX7oiVCsSPomRWsa/  Endermanch-MalwareDatabase:Endermanch@RegistryCleanerBundler2.exe
24576:MVp+lk/zHP+7Fa+bMllaPV4QoR21aq8v5HDujbMRsVfr4790:G5zHOFhbMy4sh8xKcRsR4B0  Endermanch-MalwareDatabase:Endermanch@RegistryCleanerReg.exe
24576:xbITYuFgmSBi3rZXnRNwdyQiVYubKvWJaG2rjYPWe2wUVXs8bl7Bd8XtRJf/WBoDZSY0w:xkpFDrG4Vunb5RXl7e/WBoDZSYZ  Endermanch-MalwareDatabase:Endermanch@RegistryCleaner_CII.exe
24576:xbITYuFgmSAx+4YUHWp2oag/F3o+0JXsFUxqRN+AMXP6RRAwtG9zEakgFvavr4798:xkpFOLUfoagT0GRYAMXP6RNtKzrFvaj4  Endermanch-MalwareDatabase:Endermanch@RegistryCleaner_CY.exe
